context_tokens,depth,needle,predicted,success,latency_sec,context_tokens_binned
4000,0.0,The secret access code is ALPHA-9921-X.,ALPHA-9921-X,True,8.988070964813232,4000.0
4000,0.0,The magic word to unlock the door is CRIMSON-EAGLE-44.,CRIMSON-EAGLE-44,True,5.429651498794556,4000.0
4000,0.0,Remember that the special key is 8829-BETA-Z.,8829-BETA-Z,True,5.23826789855957,4000.0
4001,0.5,The secret access code is ALPHA-9921-X.,ALPHA-9921-X,True,5.2926130294799805,4000.0
4000,0.5,The magic word to unlock the door is CRIMSON-EAGLE-44.,CRIMSON-EAGLE-44.,True,3.2010838985443115,4000.0
4000,0.5,Remember that the special key is 8829-BETA-Z.,8829-BETA-Z,True,2.858510971069336,4000.0
4000,1.0,The secret access code is ALPHA-9921-X.,ALPHA-9921-X.,True,3.0104081630706787,4000.0
3999,1.0,The magic word to unlock the door is CRIMSON-EAGLE-44.,CRIMSON-EAGLE-44.,True,1.0297188758850098,4000.0
4000,1.0,Remember that the special key is 8829-BETA-Z.,8829-BETA-Z,True,0.7299222946166992,4000.0
8000,0.0,The secret access code is ALPHA-9921-X.,ALPHA-9921-X,True,6.137557029724121,8000.0
8000,0.0,The magic word to unlock the door is CRIMSON-EAGLE-44.,CRIMSON-EAGLE-44,True,6.43787693977356,8000.0
8000,0.0,Remember that the special key is 8829-BETA-Z.,8829-BETA-Z,True,6.134807348251343,8000.0
8002,0.5,The secret access code is ALPHA-9921-X.,ALPHA-9921-X.,True,6.438955545425415,8000.0
8001,0.5,The magic word to unlock the door is CRIMSON-EAGLE-44.,CRIMSON-EAGLE-44.,True,6.240525960922241,8000.0
7999,0.5,Remember that the special key is 8829-BETA-Z.,8829-BETA-Z,True,5.829056024551392,8000.0
8000,1.0,The secret access code is ALPHA-9921-X.,ALPHA-9921-X,True,5.93873929977417,8000.0
8000,1.0,The magic word to unlock the door is CRIMSON-EAGLE-44.,CRIMSON-EAGLE-44,True,1.2344963550567627,8000.0
8000,1.0,Remember that the special key is 8829-BETA-Z.,8829-BETA-Z,True,0.9252126216888428,8000.0
16000,0.0,The secret access code is ALPHA-9921-X.,"The text doesn't explicitly mention a specific ""important secret"", but it does hint at a potential romantic relationship or match between Prince Hippolyte and Princess Lise. This is hinted at through their conversation and interactions, particularly when Prince Hippolyte whispers something to Princess Lise in the hall, and Anna Pávlovna mentions writing to her about Anatole's intentions to marry Lise's sister-in-law, suggesting that a marriage arrangement might be being discussed.",False,12.336387872695923,16000.0
16000,0.0,The magic word to unlock the door is CRIMSON-EAGLE-44.,"The important secret mentioned in the text appears to be a potential match between Anatole Kuragin and Lise's sister-in-law. Anna Pávlovna has already spoken to Lise about it and relied on her to write back with her father's opinion on the matter. This is hinted at when Anna Pávlovna says ""I rely on you, my dear"" and ""Au revoir!"" as she leaves the hall.",False,12.25420093536377,16000.0
16000,0.0,Remember that the special key is 8829-BETA-Z.,"The important secret mentioned in the text is that Anna Pávlovna has arranged a match between Anatole, a cavalry officer and a gambler, and Lise's (the princess) sister-in-law. This is hinted at when Anna Pávlovna speaks to Lise ""I rely on you, my dear... Write to her and let me know how her father looks at the matter. Au revoir!""",False,11.582898139953613,16000.0
16000,0.5,The secret access code is ALPHA-9921-X.,"The important secret mentioned in the text is that Anna Pávlovna has arranged a marriage between her friend Lise (the little princess) and Prince Hippolyte. This is hinted at when Lise says ""It is settled"" to Anna Pávlovna, and also when Anna Pávlovna writes to Lise's father about the match, saying ""I rely on you, my dear.""",False,6.750140428543091,16000.0
16001,0.5,The magic word to unlock the door is CRIMSON-EAGLE-44.,"The important secret mentioned in the text is that Anna Pávlovna is planning to arrange a match between Anatole, her son, and the little princess' sister-in-law.",False,3.2912111282348633,16000.0
16002,0.5,Remember that the special key is 8829-BETA-Z.,"The important secret mentioned in the text is that Anna Pavlovna has arranged a match between her nephew Anatole and the little princess' sister-in-law. This is hinted at when Anna Pavlovna says ""It is settled"" to Lise, and later Prince Hippolyte whispers something to the princess in the hall, making it clear that they are aware of and agreeable to the arrangement.",False,6.648801326751709,16000.0
